id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,auc,models_ensemble_count
openml.org/t/359957,cnae-9,autosklearn,1h8c_gp3,5,multiclass,-0.130013,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:45,3643.8,3599.4,0.0,5.0,1229737992,,0.944444,0.944444,0.130013,,
openml.org/t/359957,cnae-9,autosklearn,1h8c_gp3,6,multiclass,-0.181971,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:47,3643.0,3597.2,0.4,7.0,1229737993,,0.935185,0.935185,0.181971,,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,2,multiclass,-0.154563,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:53,3645.5,3602.0,0.4,7.0,1229737989,,0.948052,0.948052,0.154563,,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,1,multiclass,-0.196757,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:53,3643.5,3600.9,0.3,5.0,1229737988,,0.930736,0.930736,0.196757,,
openml.org/t/359957,cnae-9,autosklearn,1h8c_gp3,4,multiclass,-0.145274,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:55,3655.4,3610.0,0.4,8.0,1229737991,,0.962963,0.962963,0.145274,,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,7,binary,0.860742,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:09:56,3665.8,3622.0,1.1,17.0,1229737994,,0.85782,0.631852,0.306235,0.860742,
openml.org/t/359962,kc1,autosklearn,1h8c_gp3,8,binary,0.881512,auc,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:02,3662.6,3618.1,1.0,15.0,1229737995,,0.900474,0.718846,0.292357,0.881512,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,3,multiclass,-0.154724,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:04,3650.0,3606.8,0.4,6.0,1229737990,,0.948052,0.948052,0.154724,,
openml.org/t/359957,cnae-9,autosklearn,1h8c_gp3,7,multiclass,-0.120051,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:07,3655.3,3609.3,0.3,8.0,1229737994,,0.953704,0.953704,0.120051,,
openml.org/t/359963,segment,autosklearn,1h8c_gp3,4,multiclass,-0.126283,neg_logloss,aws.docker,0.14.0,,2.0.2,2021-11-22T23:10:12,3650.0,3607.0,0.3,6.0,1229737991,,0.943723,0.943723,0.126283,,
